"gene","GO_ID","D","T1","T2","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim_bin","aspect"
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0001501",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0001503",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0001525",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0001568",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0001667",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0001944",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0002040",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,0.0196275167387127,0.999009199521921,2,6,"sprouting angiogenesis","BP","developmental processes","P"
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0002042",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0002062",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0002253",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0002376",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.27513_t","GO:0002429",NA,"0.977324565869858",NA,"45351.EDO37905","0","917","KOG3637@1|root; KOG3637@2759|Eukaryota; 38DDW@33154|Opisthokonta; 3BH46@33208|Metazoa","33208|Metazoa","W","glycosylphosphatidylinositol phospholipase D activity","GPLD1","3.1.4.50","ko:K01127","ko00563; map00563",NA,"R06623",NA,"ko00000; ko00001; ko01000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
