"","gene","D","T1","T2"
"1","Pocillopora_acuta_HIv2___RNAseq.15343_t",0.973736792310122,-0.421454268707883,-0.901261754756272
"2","Pocillopora_acuta_HIv2___RNAseq.1718_t",0.762335589078277,-0.0613021089928627,-0.607558774225891
"3","Pocillopora_acuta_HIv2___RNAseq.19307_t",1.18914898807079,-0.0371655488857428,-1.04479981658069
"4","Pocillopora_acuta_HIv2___RNAseq.21073_t",1.08675263842902,-0.583424007056035,-0.513475696857246
"5","Pocillopora_acuta_HIv2___RNAseq.21871_t",1.0385069471392,0.246443633953987,-1.22405066763993
"6","Pocillopora_acuta_HIv2___RNAseq.26321_t",1.10535796156764,-0.160453250539663,-0.360012782621497
"7","Pocillopora_acuta_HIv2___RNAseq.29407_t",1.2351756017986,-0.103807469413597,-1.1569431487976
"8","Pocillopora_acuta_HIv2___RNAseq.3321_t",0.797632529879758,-0.350180933795462,0.0209223103518813
"9","Pocillopora_acuta_HIv2___RNAseq.5329_t",1.12859224397175,-0.141245244341758,-0.489569238073579
"10","Pocillopora_acuta_HIv2___RNAseq.7292_t",1.06565556131167,-0.332444953919794,-0.268370116774366
"11","Pocillopora_acuta_HIv2___RNAseq.g10098.t1",1.46849440901456,-0.471096606321364,-0.62657194695176
"12","Pocillopora_acuta_HIv2___RNAseq.g10167.t1",1.200999891079,-0.411655788551004,-0.480181659964644
"13","Pocillopora_acuta_HIv2___RNAseq.g10234.t1b",1.0838552233804,-0.0604055407695494,-1.17933005205779
"14","Pocillopora_acuta_HIv2___RNAseq.g10268.t1",1.01566674211709,0.128214061830023,-1.31397546937886
"15","Pocillopora_acuta_HIv2___RNAseq.g10287.t1",1.43313489221921,-0.498553556801948,-0.647627236003917
"16","Pocillopora_acuta_HIv2___RNAseq.g10349.t1",0.912254231412969,-0.296914756827676,-0.466173993433968
"17","Pocillopora_acuta_HIv2___RNAseq.g10400.t1",1.18161047611263,-0.617645312279021,-0.368307135509858
"18","Pocillopora_acuta_HIv2___RNAseq.g10457.t1",0.985330469202435,-0.407041044186794,-0.515674200448066
"19","Pocillopora_acuta_HIv2___RNAseq.g10465.t2",0.760168467091882,-0.027217378188353,-0.417265914743111
"20","Pocillopora_acuta_HIv2___RNAseq.g10681.t1",1.28211412053178,-0.0713057219593526,-1.06597765851621
"21","Pocillopora_acuta_HIv2___RNAseq.g10682.t1",0.838019772737297,0.607533858849372,-0.982263160049986
"22","Pocillopora_acuta_HIv2___RNAseq.g10745.t1",0.94519822774053,0.251410378303266,-1.03259850628722
"23","Pocillopora_acuta_HIv2___RNAseq.g10786.t1",1.21762180709027,0.169916757251053,-1.00691442992402
"24","Pocillopora_acuta_HIv2___RNAseq.g10837.t1",0.92545644226955,0.525481064827493,-0.919843891005504
"25","Pocillopora_acuta_HIv2___RNAseq.g1091.t1",1.11517281974023,0.0541914192167897,-0.849536955735833
"26","Pocillopora_acuta_HIv2___RNAseq.g11307.t2",0.931454470342403,-0.1519528262666,0.0158087741406288
"27","Pocillopora_acuta_HIv2___RNAseq.g11313.t1",0.920993232011663,0.163911926254263,-0.978937304677597
"28","Pocillopora_acuta_HIv2___RNAseq.g1132.t1",1.32413448721119,-0.587754198503056,-0.323361412980058
"29","Pocillopora_acuta_HIv2___RNAseq.g11410.t1",1.06823355301468,-1.08724677316533,0.542638623396438
"30","Pocillopora_acuta_HIv2___RNAseq.g11610.t1",1.0099237661497,-0.50690704649905,-0.651236290125961
"31","Pocillopora_acuta_HIv2___RNAseq.g11615.t1",0.840946552821554,-0.600792342063756,0.201062720037942
"32","Pocillopora_acuta_HIv2___RNAseq.g11694.t1",1.36358293578881,-0.63356279364438,-0.395130730600728
"33","Pocillopora_acuta_HIv2___RNAseq.g11724.t1",0.877450079149479,-0.0915015846617198,-0.361392187641196
"34","Pocillopora_acuta_HIv2___RNAseq.g11774.t1",0.983336087606578,-0.643765245782269,-0.240385964023674
"35","Pocillopora_acuta_HIv2___RNAseq.g12079.t1",1.17829616644464,-0.286695895121858,-0.384706655455432
"36","Pocillopora_acuta_HIv2___RNAseq.g12346.t1",0.831508403128326,-0.24165697461102,-0.460516451861529
"37","Pocillopora_acuta_HIv2___RNAseq.g12432.t1",0.918324967208458,-0.144681956455596,-0.573631968165286
"38","Pocillopora_acuta_HIv2___RNAseq.g12605.t1",0.897994569179374,-0.426520347859198,-0.210997918849284
